OrderID,OrderDate,UnitCost,Price,OrderQty,CostofSales,Sales,Profit,Channel,PromotionName,ProductName,Manufacturer,ProductSubCategory,ProductCategory,Region,City,Country
7077,2017-09-13,76.09496775,304,9,684.8547097,2714.72,2029.86529,Store,European Spring Promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Europe,Moscow,Russia
117,2017-09-14,7.491752798,12.99,4,29.96701119,50.1414,20.17438881,Store,European Spring Promotion,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",MP4&MP3,Audio,Europe,Moscow,Russia
7018,2017-09-15,10.12233768,159.99,9,91.10103916,1395.1128,1304.011761,Store,European Spring Promotion,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Europe,Moscow,Russia
140,2017-09-16,0.576153263,25.69,18,10.37075874,462.42,452.0492413,Store,North America Spring Promotion,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Bluetooth Headphones,Audio,North America,Bellevue,United States
491,2017-09-17,108.5087768,304,9,976.5789912,2614.4,1637.821009,Online,Asian Spring Promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
58,2017-09-18,77.98502883,299,24,1871.640692,7056.4,5184.759308,Online,Asian Summer Promotion,SV Car Video TFT7 M7000 Silver,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
7085,2017-09-19,154.987254,699,10,1549.87254,6990,5440.12746,Online,No Discount,Adventure Works Laptop15 M1501 Red,Adventure Works,Laptops,Computers,Asia,Beijing,China
929,2017-09-20,96.4548497,178,5,482.2742485,890,407.7257515,Online,No Discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Asia,Beijing,China
1527,2017-09-21,227.3970926,310,13,2956.162204,3890.5,934.3377958,Online,Asian Holiday Promotion,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
7264,2017-09-22,158.6528393,299,30,4759.58518,8970,4210.41482,Online,No Discount,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
1471,2017-09-23,346.6271251,763.51,18,6239.288252,13590.478,7351.189748,Online,Asian Spring Promotion,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Televisions,TV and Video,Asia,Beijing,China
845,2017-09-24,192.8419767,588,24,4628.207442,14112,9483.792558,Online,No Discount,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
7144,2017-09-25,50.30309548,95.95,24,1207.274292,2302.8,1095.525708,Online,No Discount,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China
1160,2017-09-26,181.8228396,299.23,10,1818.228396,2992.3,1174.071604,Online,No Discount,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China
619,2017-09-27,144.2994725,299.23,12,1731.59367,3590.76,1859.16633,Online,No Discount,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China
625,2017-09-28,13.04327298,159,20,260.8654596,3180,2919.13454,Online,No Discount,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,Beijing,China
523,2017-09-29,79.63851975,199.95,26,2070.601514,5078.73,3008.128486,Online,Asian Holiday Promotion,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
879,2017-09-30,162.9056774,296,6,977.4340645,1776,798.5659355,Online,No Discount,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
7409,2017-10-01,153.0782218,296,12,1836.938662,3552,1715.061338,Online,No Discount,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
1170,2017-10-02,108.2420856,156,20,2164.841712,3120,955.1582879,Online,No Discount,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
1154,2017-10-03,63.08704151,159.99,26,1640.263079,3991.7505,2351.487421,Online,Asian Holiday Promotion,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
1572,2017-10-04,268.4218818,369,9,2415.796936,3321,905.2030638,Online,Asian Spring Promotion,SV Car Video LCD7 M7002 Black,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
